instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective
examples/pdptw/pdptw_400/LC1_4_5.txt,ucbNew,300,0,46,8662.59,54662590
examples/pdptw/pdptw_600/LC1_6_1.txt,ucbNew,300,12,146,40980.038,12186980038
examples/pdptw/pdptw_600/LC1_6_2.txt,ucbNew,300,220,54,19616.877,220073616877
examples/pdptw/pdptw_600/LC1_6_3.txt,ucbNew,300,268,38,14156.494,268052156494
examples/pdptw/pdptw_600/LC1_6_5.txt,ucbNew,300,10,121,35866.216,10156866216
examples/pdptw/pdptw_100/lc101.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_600/LC1_6_4.txt,ucbNew,300,312,28,10234.089,312038234089
examples/pdptw/pdptw_100/lc102.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,ucbNew,300,0,10,837.884,10837884
examples/pdptw/pdptw_100/lc104.txt,ucbNew,300,0,10,824.802,10824802
examples/pdptw/pdptw_100/lc105.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,epsilonGreedyNew,300,0,21,2798.462,23798462
examples/pdptw/pdptw_200/LC1_2_2.txt,epsilonGreedyNew,300,0,22,3152.024,25152024
examples/pdptw/pdptw_200/LC1_2_3.txt,epsilonGreedyNew,300,0,20,3157.821,23157821
examples/pdptw/pdptw_200/LC1_2_4.txt,epsilonGreedyNew,300,0,19,3301.594,22301594
examples/pdptw/pdptw_200/LC1_2_5.txt,epsilonGreedyNew,300,0,21,2928.616,23928616
examples/pdptw/pdptw_400/LC1_4_1.txt,epsilonGreedyNew,300,0,44,8184.983,52184983
examples/pdptw/pdptw_400/LC1_4_2.txt,epsilonGreedyNew,300,0,45,8447.864,53447864
examples/pdptw/pdptw_400/LC1_4_3.txt,epsilonGreedyNew,300,0,42,8907.538,50907538
examples/pdptw/pdptw_400/LC1_4_4.txt,epsilonGreedyNew,300,0,39,8772.199,47772199
examples/pdptw/pdptw_400/LC1_4_5.txt,epsilonGreedyNew,300,0,50,9426.439,59426439
examples/pdptw/pdptw_600/LC1_6_1.txt,epsilonGreedyNew,300,0,70,16759.312,86759312
examples/pdptw/pdptw_600/LC1_6_2.txt,epsilonGreedyNew,300,0,71,18956.049,89956049
examples/pdptw/pdptw_600/LC1_6_3.txt,epsilonGreedyNew,300,0,71,18271.015,89271015
examples/pdptw/pdptw_600/LC1_6_4.txt,epsilonGreedyNew,300,0,64,19049.26,83049260
examples/pdptw/pdptw_600/LC1_6_5.txt,epsilonGreedyNew,300,0,73,18167.982,91167982
examples/pdptw/pdptw_100/lc101.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,epsilonGreedyNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,epsilonGreedyNew,300,0,10,819.908,10819908
examples/pdptw/pdptw_100/lc105.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,ucbNew,300,0,22,2960.482,24960482
examples/pdptw/pdptw_200/LC1_2_2.txt,ucbNew,300,0,23,3222.204,26222204
examples/pdptw/pdptw_200/LC1_2_3.txt,ucbNew,300,0,21,3305.031,24305031
examples/pdptw/pdptw_200/LC1_2_4.txt,ucbNew,300,0,19,4007.247,23007247
examples/pdptw/pdptw_200/LC1_2_5.txt,ucbNew,300,0,21,2779.63,23779630
examples/pdptw/pdptw_400/LC1_4_1.txt,ucbNew,300,0,48,8245.35,56245350
examples/pdptw/pdptw_400/LC1_4_2.txt,ucbNew,300,0,54,11095.023,65095023
examples/pdptw/pdptw_400/LC1_4_3.txt,ucbNew,300,8,49,9914.162,8058914162
examples/pdptw/pdptw_400/LC1_4_4.txt,ucbNew,300,0,40,12199.864,52199864
examples/pdptw/pdptw_400/LC1_4_5.txt,ucbNew,300,0,45,9219.238,54219238
examples/pdptw/pdptw_600/LC1_6_1.txt,ucbNew,300,12,117,30771.5,12147771500
examples/pdptw/pdptw_600/LC1_6_2.txt,ucbNew,300,230,54,19220.596,230073220596
examples/pdptw/pdptw_600/LC1_6_4.txt,ucbNew,300,0,68,30067.947,98067947
examples/pdptw/pdptw_600/LC1_6_3.txt,ucbNew,300,268,38,14156.494,268052156494
examples/pdptw/pdptw_600/LC1_6_5.txt,ucbNew,300,10,98,25001.952,10123001952
examples/pdptw/pdptw_100/lc101.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,ucbNew,300,0,10,827.889,10827889
examples/pdptw/pdptw_100/lc104.txt,ucbNew,300,0,10,824.802,10824802
examples/pdptw/pdptw_100/lc105.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,epsilonGreedyNew,300,0,22,2861.1,24861100
examples/pdptw/pdptw_200/LC1_2_2.txt,epsilonGreedyNew,300,0,22,3059.323,25059323
examples/pdptw/pdptw_200/LC1_2_3.txt,epsilonGreedyNew,300,0,20,2990.891,22990891
examples/pdptw/pdptw_200/LC1_2_4.txt,epsilonGreedyNew,300,0,19,3275.489,22275489
examples/pdptw/pdptw_200/LC1_2_5.txt,epsilonGreedyNew,300,0,21,2738.518,23738518
examples/pdptw/pdptw_400/LC1_4_1.txt,epsilonGreedyNew,300,0,45,8075.487,53075487
examples/pdptw/pdptw_400/LC1_4_2.txt,epsilonGreedyNew,300,0,47,9156.588,56156588
examples/pdptw/pdptw_400/LC1_4_3.txt,epsilonGreedyNew,300,0,44,9613.976,53613976
examples/pdptw/pdptw_400/LC1_4_4.txt,epsilonGreedyNew,300,0,39,9085.85,48085850
examples/pdptw/pdptw_400/LC1_4_5.txt,epsilonGreedyNew,300,0,50,9681.08,59681080
examples/pdptw/pdptw_600/LC1_6_1.txt,epsilonGreedyNew,300,0,74,18264.171,92264171
examples/pdptw/pdptw_600/LC1_6_2.txt,epsilonGreedyNew,300,0,69,16998.395,85998395
examples/pdptw/pdptw_600/LC1_6_3.txt,epsilonGreedyNew,300,0,70,19895.137,89895137
examples/pdptw/pdptw_600/LC1_6_4.txt,epsilonGreedyNew,300,0,63,19518.806,82518806
examples/pdptw/pdptw_100/lc101.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_600/LC1_6_5.txt,epsilonGreedyNew,300,0,74,18655.631,92655631
examples/pdptw/pdptw_100/lc102.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,epsilonGreedyNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc105.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc104.txt,epsilonGreedyNew,300,0,10,819.908,10819908
examples/pdptw/pdptw_200/LC1_2_1.txt,ucbNew,300,0,22,2943.872,24943872
examples/pdptw/pdptw_200/LC1_2_2.txt,ucbNew,300,0,22,3212.455,25212455
examples/pdptw/pdptw_200/LC1_2_3.txt,ucbNew,300,0,20,3699.51,23699510
examples/pdptw/pdptw_200/LC1_2_4.txt,ucbNew,300,0,19,3228.104,22228104
examples/pdptw/pdptw_200/LC1_2_5.txt,ucbNew,300,0,23,2996.22,25996220
examples/pdptw/pdptw_400/LC1_4_1.txt,ucbNew,300,0,48,8775.588,56775588
examples/pdptw/pdptw_400/LC1_4_2.txt,ucbNew,300,0,53,10820.672,63820672
examples/pdptw/pdptw_400/LC1_4_3.txt,ucbNew,300,10,50,10653.483,10060653483
examples/pdptw/pdptw_400/LC1_4_4.txt,ucbNew,300,0,40,11965.389,51965389
examples/pdptw/pdptw_400/LC1_4_5.txt,ucbNew,300,0,46,8369.449,54369449
examples/pdptw/pdptw_600/LC1_6_1.txt,ucbNew,300,28,143,41046.067,28184046067
examples/pdptw/pdptw_600/LC1_6_2.txt,ucbNew,300,222,54,19478.527,222073478527
examples/pdptw/pdptw_600/LC1_6_3.txt,ucbNew,300,278,35,13138.616,278048138616
examples/pdptw/pdptw_600/LC1_6_4.txt,ucbNew,300,312,27,9922.427,312036922427
examples/pdptw/pdptw_100/lc101.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_600/LC1_6_5.txt,ucbNew,300,10,107,27509.784,10134509784
examples/pdptw/pdptw_100/lc102.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,ucbNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,ucbNew,300,0,10,824.802,10824802
examples/pdptw/pdptw_100/lc105.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,epsilonGreedyNew,300,0,21,2788.524,23788524
examples/pdptw/pdptw_200/LC1_2_2.txt,epsilonGreedyNew,300,0,22,3209.258,25209258
examples/pdptw/pdptw_200/LC1_2_3.txt,epsilonGreedyNew,300,0,20,3308.477,23308477
examples/pdptw/pdptw_200/LC1_2_4.txt,epsilonGreedyNew,300,0,19,3365.2,22365200
examples/pdptw/pdptw_200/LC1_2_5.txt,epsilonGreedyNew,300,0,21,2904.684,23904684
examples/pdptw/pdptw_400/LC1_4_1.txt,epsilonGreedyNew,300,0,47,8210.337,55210337
examples/pdptw/pdptw_400/LC1_4_2.txt,epsilonGreedyNew,300,0,48,9553.21,57553210
examples/pdptw/pdptw_400/LC1_4_3.txt,epsilonGreedyNew,300,0,43,10659.534,53659534
examples/pdptw/pdptw_400/LC1_4_4.txt,epsilonGreedyNew,300,0,39,9546.985,48546985
examples/pdptw/pdptw_400/LC1_4_5.txt,epsilonGreedyNew,300,0,46,9251.536,55251536
examples/pdptw/pdptw_600/LC1_6_1.txt,epsilonGreedyNew,300,0,70,17269.307,87269307
examples/pdptw/pdptw_600/LC1_6_2.txt,epsilonGreedyNew,300,0,71,17698.02,88698020
examples/pdptw/pdptw_600/LC1_6_3.txt,epsilonGreedyNew,300,0,70,19877.447,89877447
examples/pdptw/pdptw_600/LC1_6_4.txt,epsilonGreedyNew,300,0,63,19762.448,82762448
examples/pdptw/pdptw_100/lc101.txt,epsilonGreedyNew,300,0,10,828.96,10828960
