instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,21,3871.187,24871187,143.526
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,25,3417.663,28417663,102.816
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,52,9271.427,61271427,226.193
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,24,65,17950.614,24082950614,300.000
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,58,10702.493,68702493,223.300
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17344.171,30072344171,300.000
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12694.398,50045694398,300.000
examples/pdptw/pdptw_600/LC1_6_1.txt,ucb-tuned,300,76,134,36574.363,76170574363,300.000
examples/pdptw/pdptw_600/LC1_6_3.txt,ucb-tuned,300,304,36,13265.383,304049265383,300.000
examples/pdptw/pdptw_600/LC1_6_2.txt,ucb-tuned,300,222,65,20993.966,222085993966,300.000
examples/pdptw/pdptw_600/LC1_6_5.txt,ucb-tuned,300,56,126,39300.092,56165300092,300.000
examples/pdptw/pdptw_100/lc101.txt,ucb-tuned,300,0,11,857.093,11857093,17.314
examples/pdptw/pdptw_600/LC1_6_4.txt,ucb-tuned,300,330,26,10241.71,330036241710,300.000
examples/pdptw/pdptw_100/lc102.txt,ucb-tuned,300,0,10,828.96,10828960,4.138
examples/pdptw/pdptw_100/lc103.txt,ucb-tuned,300,0,11,955.777,11955777,25.093
examples/pdptw/pdptw_100/lc104.txt,ucb-tuned,300,0,10,874.763,10874763,10.362
examples/pdptw/pdptw_100/lc105.txt,ucb-tuned,300,0,10,828.96,10828960,8.419
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,21,2893.586,23893586,22.029
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,21,3225.222,24225222,53.371
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3093.895,23093895,19.387
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3176.532,22176532,54.395
