instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap,solOverTime
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc105.txt,dqn,300,0,13,,14251968,227749.9105535914,[(t:144.616-v:2056.852)-(t:225.667-v:1885.471)-(t:228.497-v:1879.162)-(t:231.923-v:1870.659)-(t:234.965-v:1838.251)-(t:237.985-v:1837.267)-(t:240.885-v:1830.796)-(t:243.645-v:1794.853)-(t:246.496-v:1793.869)-(t:249.327-v:1775.212)-(t:252.419-v:1732.042)-(t:255.346-v:1694.065)-(t:258.511-v:1628.230)-(t:260.995-v:1570.951)-(t:263.955-v:1566.741)-(t:267.312-v:1511.386)-(t:270.374-v:1502.747)-(t:273.600-v:1498.654)-(t:276.216-v:1434.009)-(t:279.356-v:1380.612)-(t:282.036-v:1377.795)-(t:284.726-v:1325.776)-(t:287.995-v:1251.968)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc104.txt,dqn,300,0,12,,13524213,234738.51500636403,[(t:169.670-v:2109.963)-(t:178.232-v:2103.385)-(t:180.083-v:2067.655)-(t:182.870-v:2067.115)-(t:185.557-v:2064.770)-(t:187.745-v:2064.769)-(t:190.119-v:2058.680)-(t:191.998-v:2056.480)-(t:194.028-v:2056.294)-(t:196.274-v:1957.246)-(t:198.454-v:1956.252)-(t:200.629-v:1951.777)-(t:202.373-v:1922.361)-(t:204.549-v:1829.855)-(t:206.232-v:1821.702)-(t:208.366-v:1820.185)-(t:210.688-v:1820.142)-(t:212.900-v:1812.817)-(t:215.095-v:1786.763)-(t:217.484-v:1786.192)-(t:219.766-v:1777.338)-(t:222.324-v:1774.419)-(t:224.343-v:1773.121)-(t:226.640-v:1701.795)-(t:228.633-v:1698.474)-(t:230.841-v:1695.050)-(t:232.952-v:1694.724)-(t:235.081-v:1689.821)-(t:237.399-v:1685.108)-(t:239.337-v:1670.332)-(t:241.431-v:1665.169)-(t:243.824-v:1662.086)-(t:246.235-v:1652.451)-(t:248.449-v:1581.373)-(t:250.622-v:1542.720)-(t:252.561-v:1541.524)-(t:254.562-v:1540.678)-(t:256.859-v:1536.027)-(t:259.221-v:1535.559)-(t:261.534-v:1535.031)-(t:263.643-v:1534.769)-(t:265.592-v:1530.546)-(t:285.417-v:1530.299)-(t:301.305-v:1524.213)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_1.txt,dqn,300,26,29,,26033910564,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_5.txt,dqn,300,0,31,,37396401,293869.1695339277,[(t:285.487-v:6396.401)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_4.txt,dqn,300,88,14,,88017512024,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_3.txt,dqn,300,82,17,,82020522576,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_3.txt,dqn,300,236,23,,236029480434,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_1.txt,dqn,300,290,23,,290027960526,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_4.txt,dqn,300,322,11,,322014772554,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_2.txt,dqn,300,286,24,,286030399508,300000.0,[]
