instance,bandit,timeout,objective,integralPrimalGap
examples/csp/csp_100/carseq_100_8_20_99.txt,ucb-tuned,300,1,300.000
examples/csp/csp_200/pb_200_06.txt,ucb-tuned,300,6,300.000
examples/csp/csp_200/pb_200_07.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_78.txt,ucb-tuned,300,0,39.671
examples/csp/csp_300/carseq_300_8_20_56.txt,ucb-tuned,300,0,140.300
examples/csp/csp_200/pb_200_08.txt,ucb-tuned,300,8,300.000
examples/csp/csp_300/carseq_300_8_20_80.txt,ucb-tuned,300,0,84.623
examples/csp/csp_200/pb_200_09.txt,ucb-tuned,300,10,300.000
examples/csp/csp_200/pb_200_10.txt,ucb-tuned,300,19,300.000
examples/csp/csp_100/carseq_100_8_20_67.txt,epsilongreedy-tuned,300,0,8.380
examples/csp/csp_100/carseq_100_8_20_72.txt,epsilongreedy-tuned,300,0,1.104
examples/csp/csp_100/carseq_100_8_20_73.txt,epsilongreedy-tuned,300,0,0.590
examples/csp/csp_100/carseq_100_8_20_77.txt,epsilongreedy-tuned,300,0,0.942
examples/csp/csp_300/carseq_300_8_20_81.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/pb_300_06.txt,ucb-tuned,300,4,300.000
examples/csp/csp_300/pb_300_07.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/pb_300_08.txt,ucb-tuned,300,8,300.000
examples/csp/csp_300/pb_300_09.txt,ucb-tuned,300,8,300.000
examples/csp/csp_300/pb_300_10.txt,ucb-tuned,300,27,300.000
examples/csp/csp_100/16-81.txt,epsilongreedy-tuned,300,3,300.000
examples/csp/csp_100/21-90.txt,epsilongreedy-tuned,300,2,1.201
examples/csp/csp_100/36-92.txt,epsilongreedy-tuned,300,2,1.116
examples/csp/csp_100/carseq_100_8_20_94.txt,epsilongreedy-tuned,300,0,1.522
examples/csp/csp_100/4-72.txt,epsilongreedy-tuned,300,9,300.000
examples/csp/csp_100/6-76.txt,epsilongreedy-tuned,300,6,0.348
examples/csp/csp_100/carseq_100_8_20_62.txt,epsilongreedy-tuned,300,12,300.000
examples/csp/csp_100/carseq_100_8_20_64.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_38.txt,epsilongreedy-tuned,300,0,4.296
examples/csp/csp_100/carseq_100_8_20_71.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_81.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_200/pb_200_07.txt,epsilongreedy-tuned,300,0,146.795
