instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective
bench/LC1_6_5.txt,banditaftermove,300,0,79,19662.108,98662108
bench/LC1_2_4.txt,banditaftermove,300,0,19,3248.867,22248867
bench/LC1_2_5.txt,banditaftermove,300,0,22,3330.425,25330425
bench/LC1_4_1.txt,banditaftermove,300,0,45,7872.732,52872732
bench/LC1_4_2.txt,banditaftermove,300,0,46,8376.18,54376180
bench/LC1_4_3.txt,banditaftermove,300,0,46,10140.62,56140620
bench/LC1_4_4.txt,banditaftermove,300,0,38,8914.571,46914571
bench/LC1_4_5.txt,banditaftermove,300,0,48,8788.657,56788657
bench/lc101.txt,banditaftermove,300,0,10,828.96,10828960
bench/lc104.txt,banditaftermove,300,0,10,819.908,10819908
bench/lc105.txt,banditaftermove,300,0,10,828.96,10828960
bench/lc103.txt,banditaftermove,300,0,10,828.089,10828089
bench/lc102.txt,banditaftermove,300,0,10,828.96,10828960
